model_path,model_tag,data_dir,data_tag,goal_image,goal_tag,interval,task,task_tag,avg_progress,timing,avg_per_frame_s,forward_progress,incremental_progress,backward_progress,source_summary,scene_object,video_success,task_matches_scene,goal_success
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,20,pick the carrot and put it on yellow plate,carrot,3.1963195541158655,"{'forward': {'total_s': 21.24, 'num_frames': 31, 'per_frame_s': 0.685}, 'incremental': {'total_s': 19.01, 'num_frames': 31, 'per_frame_s': 0.613}, 'backward': {'total_s': 16.86, 'num_frames': 31, 'per_frame_s': 0.544}}",0.614,0.0,4.288958662347603,5.299999999999994,summary_GRM8B_new,carrot,False,True,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,20,pick the bottle and put it on yellow plate,bottle,4.3429066198591535,"{'forward': {'total_s': 17.59, 'num_frames': 31, 'per_frame_s': 0.567}, 'incremental': {'total_s': 19.04, 'num_frames': 31, 'per_frame_s': 0.614}, 'backward': {'total_s': 17.24, 'num_frames': 31, 'per_frame_s': 0.556}}",0.579,3.8,4.228719859577456,5.000000000000004,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,20,pick the white cube and put it on yellow plate,cube,7.57049223333929,"{'forward': {'total_s': 17.61, 'num_frames': 31, 'per_frame_s': 0.568}, 'incremental': {'total_s': 19.09, 'num_frames': 31, 'per_frame_s': 0.616}, 'backward': {'total_s': 16.67, 'num_frames': 31, 'per_frame_s': 0.538}}",0.574,5.0,11.811476700017865,5.900000000000006,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,10,pick the carrot and put it on yellow plate,carrot,9.217055823662555,"{'forward': {'total_s': 35.9, 'num_frames': 61, 'per_frame_s': 0.589}, 'incremental': {'total_s': 37.1, 'num_frames': 61, 'per_frame_s': 0.608}, 'backward': {'total_s': 32.84, 'num_frames': 61, 'per_frame_s': 0.538}}",0.578,4.5,17.851167470987672,5.299999999999994,summary_GRM8B_new,carrot,False,True,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,10,pick the bottle and put it on yellow plate,bottle,7.575893193333335,"{'forward': {'total_s': 34.14, 'num_frames': 61, 'per_frame_s': 0.56}, 'incremental': {'total_s': 37.15, 'num_frames': 61, 'per_frame_s': 0.609}, 'backward': {'total_s': 32.72, 'num_frames': 61, 'per_frame_s': 0.536}}",0.568,4.2,13.527679580000001,5.000000000000004,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_1,pick3fail_1,./examples/blank_goal.png,blank,10,pick the white cube and put it on yellow plate,cube,8.821053269333332,"{'forward': {'total_s': 34.06, 'num_frames': 61, 'per_frame_s': 0.558}, 'incremental': {'total_s': 37.02, 'num_frames': 61, 'per_frame_s': 0.607}, 'backward': {'total_s': 32.59, 'num_frames': 61, 'per_frame_s': 0.534}}",0.566,5.0,15.863159807999999,5.599999999999994,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_4,pick3fail_4,./examples/blank_goal.png,blank,20,pick the carrot and put it on yellow plate,carrot,89.66351620219137,"{'forward': {'total_s': 28.57, 'num_frames': 46, 'per_frame_s': 0.621}, 'incremental': {'total_s': 28.13, 'num_frames': 46, 'per_frame_s': 0.611}, 'backward': {'total_s': 24.46, 'num_frames': 46, 'per_frame_s': 0.532}}",0.588,95.2,83.7905486065741,90.0,summary_GRM8B_new,carrot,False,True,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_4,pick3fail_4,./examples/blank_goal.png,blank,20,pick the bottle and put it on yellow plate,bottle,36.26684676104441,"{'forward': {'total_s': 25.97, 'num_frames': 46, 'per_frame_s': 0.565}, 'incremental': {'total_s': 27.79, 'num_frames': 46, 'per_frame_s': 0.604}, 'backward': {'total_s': 24.58, 'num_frames': 46, 'per_frame_s': 0.534}}",0.568,40.0,64.30054028313324,4.5000000000000036,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_4,pick3fail_4,./examples/blank_goal.png,blank,20,pick the white cube and put it on yellow plate,cube,59.7567764420568,"{'forward': {'total_s': 25.66, 'num_frames': 46, 'per_frame_s': 0.558}, 'incremental': {'total_s': 28.23, 'num_frames': 46, 'per_frame_s': 0.614}, 'backward': {'total_s': 24.66, 'num_frames': 46, 'per_frame_s': 0.536}}",0.569,96.2,83.07032932617038,0.0,summary_GRM8B_new,carrot,False,False,False
./pretrained_models/Robo-Dopamine-GRM-2.0-8B-Preview,GRM-2.0-8B,/home/dais/workspace/Robo-Dopamine/aligned_data/pick3fail_4,pick3fail_4,./examples/blank_goal.png,blank,10,pick the carrot and put it on yellow plate,carrot,73.37350366967814,"{'forward': {'total_s': 53.09, 'num_frames': 91, 'per_frame_s': 0.583}, 'incremental': {'total_s': 55.26, 'num_frames': 91, 'per_frame_s': 0.607}, 'backward': {'total_s': 48.29, 'num_frames': 91, 'per_frame_s': 0.531}}",0.574,95.2,35.42051100903442,89.5,summary_GRM8B_new,carrot,False,True,False
